Date,Ticker,Open,High,Low,Close,Volume
2020-01-02,GLD,143.86000061035156,144.2100067138672,143.39999389648438,143.9499969482422,7733800
2020-01-02,XLP,54.24875459192111,54.24875459192111,53.569572977220496,53.71572494506836,14460700
2020-01-02,XLU,54.061767443373036,54.078468413727435,53.092945491231106,53.293392181396484,19107700
2020-01-02,XLV,93.1167176660594,93.22608697283137,92.41495040266308,93.08026123046875,6277400
2020-01-02,TLT,116.94522380464119,117.57787321075465,116.84263694504831,117.13330841064453,11034100
2020-01-03,GLD,145.75,146.32000732421875,145.39999389648438,145.86000061035156,12272800
2020-01-03,XLP,53.51798010865955,53.86187205573459,53.38042398574887,53.62974548339844,26388900
2020-01-03,XLU,53.335152653479646,53.59405911999671,53.2098730699447,53.4019660949707,17989300
2020-01-03,XLV,92.0048001200596,92.79771177159955,91.54910520722454,92.26910400390625,8247500
2020-01-03,TLT,118.21056169636098,118.97144492850762,117.87714124733333,118.93724060058594,12366000
2020-01-06,GLD,148.44000244140625,148.47999572753906,146.9499969482422,147.38999938964844,14403300
2020-01-06,XLP,53.552359457630665,53.81027672756085,53.457789026750525,53.74149703979492,22541700
2020-01-06,XLU,53.335146245499345,53.6107600217656,53.25162547117998,53.45207214355469,10444500
2020-01-06,XLV,91.84987362294923,92.87063282097424,91.82253303830312,92.84329223632812,6441800
2020-01-06,TLT,119.42451685817542,119.44161901675508,118.10792459516146,118.2618179321289,11369800
2020-01-07,GLD,147.57000732421875,148.13999938964844,147.42999267578125,147.97000122070312,7978500
2020-01-07,XLP,53.578159842010955,53.62974461711796,53.28585267559781,53.32883834838867,15607600
2020-01-07,XLU,53.318448207595246,53.4019658055044,53.07624271326971,53.37691116333008,13070300
2020-01-07,XLV,92.58811312715939,92.74305472235946,92.14153394339937,92.66102600097656,6335300
2020-01-07,TLT,118.16774108992368,118.38147235176407,117.67188299703946,117.68042755126953,8381200
2020-01-08,GLD,148.49000549316406,148.61000061035156,146.13999938964844,146.86000061035156,22248500
2020-01-08,XLP,53.37182922414514,53.7501077497721,53.26865967021319,53.52657699584961,11451400
2020-01-08,XLU,53.40195787920599,53.58570357651598,53.26832783079038,53.35184860229492,12741400
2020-01-08,XLV,92.70659425429785,93.68178130079684,92.6701378189745,93.26254272460938,7494700
2020-01-08,TLT,117.9198773234013,118.24475321365726,116.54345968235216,116.90252685546875,10621700
2020-01-09,GLD,146.07000732421875,146.41000366210938,145.44000244140625,146.02999877929688,10292300
2020-01-09,XLP,53.68992218936186,53.91344964303591,53.56096189865994,53.90485382080078,6854500
2020-01-09,XLU,53.2850342996777,53.702631803356624,53.276683815160354,53.644168853759766,11643100
2020-01-09,XLV,93.54505788911247,93.91873108216431,93.34455100048496,93.66353607177734,6660600
2020-01-09,TLT,116.26983347881928,117.50092792052074,116.19289333749394,117.3128433227539,7411500
2020-01-10,GLD,146.22000122070312,146.99000549316406,146.1699981689453,146.91000366210938,6183300
2020-01-10,XLP,53.95643566625037,54.03381118525824,53.801687907831095,53.87046432495117,7410800
