ticker,diracc,mae,rmse
GLD,0.4755412991178829,0.02340131955120542,0.030365162052201387
TLT,0.46511627906976744,0.02421382298063315,0.03058029161370188
XLP,0.49478748997594224,0.02049944063627646,0.029155994250866207
XLU,0.48997594226142743,0.030160342347250835,0.043168650362343464
XLV,0.5116279069767442,0.023512712173995275,0.03262982349623928
MEAN,0.48740978348035285,0.024357527537872226,0.03317998435507044
